CNPJ,DENOM_SOCIAL,VL_PL,ADMIN,sinal_id,pilar,nome,severidade,peso,valor_observado,limiar,limiar_sentido,materialidade_regra,materialidade_rs,meses_consecutivos,persistencia_min_meses,persistencia_atendida,meses_com_disparo,ultimo_mes_disparo,tipo_evidencia
24069733000140,MEG - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,933195240.21,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,DI-03,5. Integridade dos dados e reportes,Cedentes não declarados em carteira de direitos creditórios material,baixa,1,1.0,1.0,>=,DC >= R$ 200 mi,936768320.02,13,3,True,13,2026-06-30,observado
24154040000156,DUNASPLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS MULTISSETORIAL,0.0,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,ES-04,2. Estrutura e subordinação,Patrimônio líquido nulo ou negativo,crítica,10,1.0,1.0,>=,sem porte mínimo — PL negativo é relevante em qualquer escala,0.0,7,1,True,7,2026-06-30,observado
24194675000187,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS I RESPONSABILIDADE LIMITADA,3030582055.52,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,CN-03,3. Concentração,Base de cotistas mínima em veículo de porte,média,3,1.0,2.0,<=,PL >= R$ 156 mi (p75 do mercado),3030582055.52,13,3,True,13,2026-06-30,observado
24270541000106,DISAM CASH - FIDC AGRONEGÓCIO DE RESPONSABILIDADE ILIMITADA,273574186.12,BANCO DAYCOVAL S.A.,CN-04,3. Concentração,Carteira monossegmento,baixa,1,1.0,0.999,>=,DC >= R$ 200 mi,267147237.35,11,3,True,11,2026-06-30,derivado
24331364000112,CIPA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS,100815150.63,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,CN-05,3. Concentração,Ativo composto quase inteiramente por cotas de outros FIDCs,baixa,1,0.9993235783607471,0.9968472480623022,>=,PL >= R$ 50 mi,100756427.82,1,3,False,8,2026-06-30,observado
24426716000113,ESMERALDA - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,0.0,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,ES-04,2. Estrutura e subordinação,Patrimônio líquido nulo ou negativo,crítica,10,1.0,1.0,>=,sem porte mínimo — PL negativo é relevante em qualquer escala,0.0,3,1,True,3,2026-06-30,observado
24445329000124,ASPEN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,0.0,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,ES-04,2. Estrutura e subordinação,Patrimônio líquido nulo ou negativo,crítica,10,1.0,1.0,>=,sem porte mínimo — PL negativo é relevante em qualquer escala,0.0,6,1,True,6,2026-06-30,observado
24504464000101,IOX II FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS DE  RESPONSABILIDADE LIMITADA,1893430371.86,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,DI-03,5. Integridade dos dados e reportes,Cedentes não declarados em carteira de direitos creditórios material,baixa,1,1.0,1.0,>=,DC >= R$ 200 mi,1605575052.1399999,6,3,True,6,2026-06-30,observado
24506071000129,IOX PME FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,305413658.75,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,ES-05,2. Estrutura e subordinação,Rentabilidade negativa na cota sênior,alta,6,-15.46,-3.561999999999999,<=,PL >= R$ 50 mi,132534088.50903186,1,2,False,1,2026-06-30,observado
24506241000175,ACL NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,103928514.12,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,PO-02,"8. PLD/FTP, lastro e movimentação",Rolagem elevada por recompra e substituição,alta,6,2.4326198306049376,0.38223524859727276,>=,carteira média 12m >= R$ 50 mi,251179391.51,13,2,True,13,2026-06-30,derivado
