DENOM_SOCIAL,CNPJ,VL_PL,v_sub,v_tot,indice_subordinacao
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MONEE I DE RESPONSABILIDADE LIMITADA,42922136000107,5751418460.99,5751418486.87908,5751418486.87908,1.0
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  PICPAY I,32527650000186,4762640671.11,475013311.8283045,4598640677.467471,0.10329428740883932
ARTESANAL MASTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,30576260000170,4520325687.36,0.0,4520325687.804812,0.0
MAROBÁ FUNDO DE INVESTMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,61285603000171,4467343585.25,,4467343585.249675,
VENDA DE VEÍCULOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,21126275000146,4242510733.6,0.0,4242510733.5933485,0.0
DAY MAXX 2 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,34197588000137,4015059128.44,2545142455.1600013,4015059128.4408164,0.6338991217168864
HIGH TOWER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  NÃO-PADRONIZADOS,51152102000163,3967152720.03,0.0,3967152720.0299764,0.0
FIDC ACR BEM BANCOS EMISSORES DE CARTÃO DE CRÉDITO - RESPONSABILIDADE LIMITADA,54979779000168,3677016076.94,110934471.0526,3677016076.8526,0.030169699760343748
"HAVAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO ECONÔMICO, FINANCEIRO E COMERCIAL",12817329000129,3666009327.0,,3666009327.1999273,
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50473039000102,3656448188.16,1877109875.6587489,3656448188.156041,0.5133697454647598
RSCRED MULTIESTRÉGIA - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,29301202000155,3599850973.43,3599850973.425153,3599850973.425153,1.0
EXPERT III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE  RESPONSABILIDADE ILIMITADA,53073485000100,3516792400.64,3516792400.639426,3516792400.639426,1.0
OCCAM CRÉDITO CORPORATIVO 30 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,48349509000170,3470655083.68,0.0,3470655083.6800013,0.0
MONEE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,58900579000129,3438585492.93,3438585492.9306283,3438585492.9306283,1.0
SOLIS CAPITAL CORE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,13054656000139,3424302623.16,,3424302624.2200317,
RED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS REAL LP DE RESPONSABILIDADE LIMITADA,17250006000110,3394314559.41,1625123945.5401807,3394314559.3666387,0.4787782384680989
ASA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,49826785000145,3364983017.12,3364983017.0954223,3364983017.0954223,1.0
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  SEGMENTO MEIOS DE PAGAMENTO,60356171000180,3254537202.75,524782216.9551569,3254537213.2680163,0.16124634089778966
FIDC PCG - BRASIL MULTICARTEIRA,07727002000126,3140454721.87,0.0,3140454721.879884,0.0
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS MEDICI I - RESPONSABILIDADE LIMITADA,62393829000159,3091715187.97,168780742.42435217,3091715187.975349,0.05459129711585125
ATLANTA FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,11468186000124,3090301588.05,2464460756.1637955,3090301588.083072,0.797482279939063
VTK FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE  LIMITADA,62588266000154,3085111034.31,463851146.236205,2505159583.1666617,0.18515832258872356
MT CONSIGNADO PRIVADO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,60010416000112,3072067502.44,175783459.90310308,3072067502.4629354,0.05721992103434385
CARNIVAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,51079269000146,3058107297.6,0.0,3058107297.608033,0.0
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS I RESPONSABILIDADE LIMITADA,24194675000187,3030582055.52,,3030582055.524204,
MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,33254370000104,3017886933.33,2094655705.2937295,3017886933.278073,0.6940802460808179
FIDC GM - VENDA DE VEÍCULOS,11230727000181,2984648919.61,0.0,2984648919.5097957,0.0
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGIBANK II RESPONSABILIDADE LIMITADA,65976848000104,2967229777.92,451533526.1001992,2967229777.9234886,0.15217342770676462
GSR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,53029409000105,2943415740.48,0.0,2943415740.4745717,0.0
SELLER II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO RESP LTDA,55471753000177,2879663753.83,1873472272.3481243,2879663753.828124,0.650587163121943
CITY - 02 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE ILIMITADA,32321307000180,2712460624.74,2712460624.682395,2712460624.682395,1.0
SCARLET FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,55344996000144,2711197599.31,0.0,2711197599.2950454,0.0
CLOUDWALK A.I. FUNDO  DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,57609282000146,2700487143.69,437108675.7334846,2700487143.6822233,0.1618628982389708
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS METEORO - RESP LTDA,54836930000109,2688587997.05,2688587996.324997,2688587996.324997,1.0
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ACR I BANCOS EMISSORES DE CARTÃO DE CRÉDITO RESP LIMI,52256912000122,2661592324.9,221001960.99022916,2661592324.9045186,0.08303373845885934
