DT_COMPTC,n_veiculos,n_classes,n_fundos_legado,pl_total,dc_com_risco,dc_sem_risco,cotas_fidc_detidas,n_informou_cotas_fidc,n_informou_cotas_fidc_np,pl_liquido_circular,pl_exclusivos,pl_cotistas_interesse_unico,parcelas_inad_com_risco,parcelas_inad_sem_risco,n_cotistas,indice,pl_total_real_jun26
2016-02-29,525,0,525,83686775750.20999,29436860157.92,38639941634.01,2124148343.2199998,525,525,81562627406.98999,6275715866.35,17475153892.29,1418364017.18,,12099.0,1.2845354563009228,139484599719.455
2016-03-31,530,0,530,81202501638.89003,29378241799.920006,36719468871.75,2117716426.1100001,530,530,79084785212.78003,6213063680.85,17266545478.72,1183973740.4,,12171.0,1.2900589587630167,134764458580.37625
2016-04-30,534,0,534,82550918482.04002,29057329999.109997,38691536325.69,1852321694.2,534,534,80698596787.84003,5626208378.679999,18580712421.25,1425963310.4300003,,12103.0,1.2979283184114712,136171657131.0644
2016-05-31,541,0,541,80157834858.12001,27401134621.55,38735453392.159996,1920977580.19,541,541,78236857277.93001,5578681247.02,16203811260.76,1417142301.69,,13094.0,1.3080521592950807,131200786009.15767
2016-06-30,548,0,548,78647490131.52,26789507980.92,40307894234.96,1586155231.0600004,548,548,77061334900.46,5816805019.32,15947706332.260002,1437320816.5,,13215.0,1.3126303418526135,128279704153.79843
2016-07-31,552,0,552,83478901036.44998,28129580721.750008,41770323585.89001,1696157892.48,552,552,81782743143.96999,5852677336.85,16115696433.550001,1597264544.6799998,,13057.0,1.3194560196302472,135455712582.41364
2016-08-31,560,0,560,86598300479.04002,29198254744.71,41244165410.59001,1714602956.46,560,560,84883697522.58002,7267881352.699999,16692001426.41,1543680293.7300003,,13284.0,1.3252616261166201,139901788661.6009
2016-09-30,561,0,561,87258622210.21005,29338259284.04,41256188017.43,1707976597.81,561,561,85550645612.40005,7669144439.040001,17106726394.810001,1283787654.6999998,,13406.0,1.3263218354175133,140855870758.01224
2016-10-31,566,0,566,86906407866.81,29668673010.429996,45838527886.58001,1871980474.9499998,566,566,85034427391.86,7669905910.209999,17362013891.44,1764833867.1299996,,13879.0,1.3297702721895988,139923513110.2374
2016-11-30,567,0,567,89129311018.69,29772181474.589996,48352128839.76,2113295480.03,567,567,87016015538.66,6724839545.560001,16668126375.18,1724426089.0400002,,14064.0,1.3321638586795401,143244654144.4996
2016-12-31,575,0,575,93803241587.05002,30628384233.449997,51562345606.55,2067059387.53,575,575,91736182199.52002,6783097386.07,16660601303.19,1475072813.0899997,,13872.0,1.3361603502555786,150305470518.8024
2017-01-31,586,0,586,89372048939.82,30552833648.710003,47703992251.770004,2119730855.3799999,586,586,87252318084.44,7074844139.61,17718922031.649998,1404953107.3799996,,14154.0,1.34123775958655,142663036698.80807
2017-02-28,594,0,594,91877603717.75,31160191922.39,50162082708.58999,2091848617.2299998,594,594,89785755100.52,7002149660.76,17423604998.340004,2779793501.6,,14117.0,1.3456638441931856,146180215205.03378
2017-03-31,603,0,603,94200168880.34999,29293923499.79,45824538876.66999,1993500466.4399996,603,603,92206668413.90999,7439512517.6,17473628012.199997,1251532670.1399999,,14364.0,1.3490280038036686,149501736551.72714
2017-04-30,612,0,612,90732800394.03,30163070911.14,49343600311.96,2008469468.88,612,612,88724330925.15,7142008336.059999,17919103327.010002,3115783959.98,,16017.0,1.3509166430089938,143797482913.95316
2017-05-31,620,0,620,88161106690.66995,27611190693.82,47472272863.8,2088874672.74,620,620,86072232017.92995,8251827089.559999,18107956137.170002,1343071283.8799999,,14448.0,1.355104484602322,139289946532.05972
2017-06-30,626,0,626,90538103924.22998,27926698995.649994,50942341613.71,2042639795.78,626,626,88495464128.44998,7995386335.630001,19744437514.0,1312323740.23,,14053.0,1.3519877442877366,143375241135.6475
2017-07-31,630,0,630,94518711984.59,27890563679.069992,46936198550.5,2142706528.4099998,630,630,92376005456.18,7650914177.819999,20347390626.72,1400312148.8,,14158.0,1.3552325148740272,149320523224.30057
2017-08-31,642,0,642,102852724438.57002,27621525703.540005,51423619834.23,2304493918.0999994,642,642,100548230520.47002,8065634470.869999,21312846089.49,1337573519.1,,14439.0,1.3578074566522877,162178444888.65262
2017-09-30,656,0,656,99494448286.9,28549267086.739998,51386999117.18,2323763325.64,656,656,97170684961.26,7832125499.939999,21767632570.699997,3266789985.799999,,14838.0,1.3599799485829314,156632494278.84955
