CNPJ,DENOM_SOCIAL,TP_FUNDO_CLASSE,VL_PL,cnpj_admin,ADMIN,dc_total,situacao_registro
34218194000118,BLESSED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO - PADRONIZADOS,Classe,35583776.14,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,0.0,Em Funcionamento Normal
56964123000105,CAVORETTO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO,Classe,34119935.95,62285390000140,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,0.0,Em Funcionamento Normal
36009621000183,DMA9 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Classe,30122818.64,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,0.0,Em Funcionamento Normal
61384065000172,PETRUS MULTICREDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Classe,29037882.4,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,25743932.92,Em Funcionamento Normal
41776150000179,REAG MASTER FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,28914395.1,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,139171.5,Em Funcionamento Normal
59111770000154,JUDICIAL ASSETS N2 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Classe,27391741.71,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,27550592.05,Em Funcionamento Normal
58593281000113,HEIVI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Classe,25227773.77,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,23538066.53,Em Funcionamento Normal
49684321000141,MILAGRE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Classe,25106338.27,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,20325324.950000003,Em Funcionamento Normal
54856185000160,FDCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,24513422.59,00806535000154,PLANNER CORRETORA DE VALORES S.A.,15492638.95,Em Funcionamento Normal
41687533000170,BRCARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,24172825.23,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,17487892.12,Em Funcionamento Normal
49983868000148,PRECAVIDA II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Classe,23759145.52,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,11018409.53,Em Funcionamento Normal
