entidade,cnpj,dc_com_risco,dc_sem_risco,valor,VL_PL,dc_sobre_pl
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLUBCARD VAREJO - RESPONSABILIDADE LIMITADA,26142862000142,2058076183.62,0.0,2058076183.62,2470380152.66,0.8331010032621705
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CREDITAS AUTO XII,59929098000109,2055685572.6,0.0,2055685572.6,2207591119.67,0.9311894554582609
MULTIPLIKE PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42154687000160,31236158.84,2016216815.69,2047452974.53,2118132225.34,0.9666313320932292
CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54871427000194,0.0,1979009727.34,1979009727.34,2008347381.44,0.9853921416329058
EUV SP1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,44229197000100,1923793634.9,0.0,1923793634.9,2178946912.58,0.8829006451663003
IBCB-AF01 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,53300525000109,971631552.56,939822971.28,1911454523.84,1909790565.67,1.0008712778248625
OCCAM CRÉDITO CORPORATIVO 30 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,48349509000170,1904528497.87,0.0,1904528497.87,3470655083.68,0.5487518788097471
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DRIVER MASTER BRASIL I - RESP LIMITADA,61652768000134,0.0,1892395974.34,1892395974.34,1972712266.59,0.9592863624309319
SELLER 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESP LIMITADA,63572282000111,0.0,1849120045.1,1849120045.1,1876075238.87,0.9856321360617522
ENDURANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,62838025000116,1815548371.9,0.0,1815548371.9,2004513902.3,0.905729997590349
DRIVER BRASIL SIX BANCO VOLKSWAGEN FIDC FINANCIAMENTO DE VEÍCULOS - RESPONSABILIDADE LIMITADA,50114948000146,0.0,1783402198.86,1783402198.86,1934784988.69,0.9217573059978628
COBUCCIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  DE CLASSE ÚNICA FECHADA DE RESPONS LIMITADA,32526025000110,1759992785.45,0.0,1759992785.45,1759550198.61,1.0002515340797606
SCARLET FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,55344996000144,1734003478.96,0.0,1734003478.96,2711197599.31,0.6395710439553739
FUNDO DE INVESTIMENTO  EM DIREITOS CREDITÓRIOS CRÉDITO CONSIGNADO PRIVADO PAKETÁ DE  RESPONSABILID,53841740000117,1712040602.57,0.0,1712040602.57,1918531934.02,0.8923701358374952
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41970012000126,1672376394.14,0.0,1672376394.14,1761615997.81,0.9493421927474884
HYUNDAI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52651831000127,1640907151.97,0.0,1640907151.97,2187326043.42,0.7501886410150153
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMPLEMENTAR  AUTO-FORD,43489824000180,1637165054.67,0.0,1637165054.67,1883891566.03,0.8690335920554406
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MT I RECEIVABLES RESPONSABILIDADE LIMITADA,40750266000176,1636235860.48,0.0,1636235860.48,1701914787.69,0.9614088039630082
AFINITTY MF FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS - RESPONSABILIDADE LIMITADA,22358482000199,1608671361.62,0.0,1608671361.62,1668953204.88,0.9638804472865166
IOX II FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS DE  RESPONSABILIDADE LIMITADA,24504464000101,303983892.31,1301591159.83,1605575052.1399999,1893430371.86,0.8479715314605273
MULTIPLICA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,23216398000101,1128646319.98,386450957.86,1515097277.8400002,1993263958.67,0.7601087007317108
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS METEORO - RESP LTDA,54836930000109,0.0,1502857015.26,1502857015.26,2688587997.05,0.5589763165308258
XP RETURN I CONSIGNADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,53036495000175,1483298090.12,0.0,1483298090.12,1546482100.39,0.9591433937359727
MT INSS RECEIVABLES VI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,62310468000130,0.0,1479300642.3,1479300642.3,1535189477.94,0.9635948288839272
FIDC MULTISEGMENTOS NPL IPANEMA VI RESPONSABILIDADE LIMITADA,26405883000103,1470927669.0,0.0,1470927669.0,2633629374.15,0.5585173386345372
BV AUTO III SEGMENTO FINANCEIRO FIDC RESPONSABILIDADE LIMITADA,66929956000180,1454003565.64,0.0,1454003565.64,1461910524.62,0.9945913523113495
JC 4870 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,13764696000174,1431792482.99,0.0,1431792482.99,1447126452.7,0.9894038494829596
EB VESTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,40801446000130,1423058267.54,0.0,1423058267.54,2202074010.33,0.6462354402551358
FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS PICPAY FGTS II DE RESPONSABILIDADE LIMITADA,65839682000176,1407879793.19,0.0,1407879793.19,1420614297.06,0.9910359174222346
LASSIE EDUCATION CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,45207707000101,1377120184.91,0.0,1377120184.91,1380228129.74,0.9977482383071085
RED - FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL LP - RESPONSABILIDADE  LIMITADA,08632394000102,811913150.89,563391770.0,1375304920.8899999,1569551198.23,0.876240878565125
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL BS NP,12428086000137,109437213.31,1265176834.65,1374614047.96,1629151199.24,0.8437608790401151
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SOMACRED BACH - RESPONSABILIDADE LIMITADA,39669950000149,1343087578.24,0.0,1343087578.24,1461275229.61,0.9191201979099153
ÁSIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,62681110000113,1338648590.14,0.0,1338648590.14,1337788554.49,1.0006428786127026
GOLDEN BRIDGE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,46879223000171,1300000000.0,0.0,1300000000.0,1299037542.35,1.0007409005657057
LF III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,31739396000117,1292132432.54,0.0,1292132432.54,1385981646.72,0.9322868276054742
ANGICO FIDC SEGMENTO INFRAESTRUTURA E AGRONEGÓCIO DE RESPONSABILIDADE LIMITADA,57325251000163,1282013518.12,0.0,1282013518.12,1391099575.18,0.9215828550261148
CATERPILLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO INDUSTRIAL II - RESP LIMITADA,05754060000113,1276051396.17,0.0,1276051396.17,1666972490.26,0.7654903746917698
IFOOD I FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADA,52327260000170,1262880043.04,0.0,1262880043.04,1389238751.96,0.9090446413607973
CF FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS - RESPONSABILIDADE LIMITADA,23200289000198,763503396.29,495766759.8,1259270156.09,1481651371.98,0.84990989102057
HOTFUND FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDAD,38376526000143,1251079163.41,0.0,1251079163.41,1702368453.87,0.7349050439497499
FUNDO DE LIQUIDAÇÃO FINANCEIRA FIDC - RESPONSABILIDADE LIMITADA,19221032000145,1247249094.06,0.0,1247249094.06,1266715166.56,0.9846326364332846
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NAGOYA - RESPONSABILIDADE LIMITADA,63465818000108,1245987236.41,0.0,1245987236.41,1245855236.41,1.0001059513145205
GONN FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,47669805000196,1241951019.54,0.0,1241951019.54,1370830378.37,0.9059844595921158
FIDC BV AUTO I SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,57532556000146,1202304439.92,0.0,1202304439.92,1246401933.83,0.9646201656840382
RED PERFORMANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP DE RESPONSABILIDADE LIMITADA,11489344000122,867047353.09,334024304.64,1201071657.73,1271673604.01,0.9444810790619785
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AUTO-HONDA,28279473000199,1199658157.42,0.0,1199658157.42,1844741719.62,0.6503122603348066
ALDEBARAN II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS -  RESPONSABILIDADE LIMITADA,57833038000162,1197695524.22,0.0,1197695524.22,1477350540.58,0.8107050367002209
JC 4870 IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS - FIDC-NP,23954863000101,1174988073.09,0.0,1174988073.09,1174546978.45,1.000375544484889
VERDECARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,26722650000134,0.0,1166143632.18,1166143632.18,1610706096.38,0.7239952929965702
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DA INDÚSTRIA EXODUS INSTITUCIONAL - RESPONS. LIMITADA,14051028000162,0.0,1161369321.44,1161369321.44,1168381489.17,0.9939983919678654
ER 2030 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,61267293000162,1161114610.64,0.0,1161114610.64,1202310624.7,0.9657359643891701
MULTIPLIKE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,29469420000101,75115206.2,1069579900.36,1144695106.56,1178965486.16,0.9709318211582072
PRAVALER CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADA,08417544000165,1131079037.48,0.0,1131079037.48,1240666511.7,0.911670482610319
PINE INSS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,63546406000194,1126243674.4,0.0,1126243674.4,1153763377.65,0.9761478793805602
SIFRA PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS,08678936000188,222404063.27,902250396.63,1124654459.9,1234030780.83,0.9113666185405569
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PRECATÓRIOS BRASIL,32774233000138,1124255902.57,0.0,1124255902.57,1163772257.6,0.9660445978395352
LIETO11 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADO RESPONSABILIDADE ILIMITADA,47094392000169,1118897291.97,0.0,1118897291.97,1225291499.88,0.9131682477839601
MULTIAGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,32388135000162,1011283684.8,106854269.91,1118137954.71,1284578705.45,0.8704316442162302
ARTESANAL RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE L,37284201000178,1080433140.68,30028619.12,1110461759.8,1250317417.94,0.8881438775999588
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SIFRA STAR,14166140000149,353064370.88,754228627.07,1107292997.95,1277114152.59,0.867027427191531
PÉROLA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,53960578000156,1106030019.12,0.0,1106030019.12,1106052595.22,0.9999795885836734
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS NPL II,29292312000106,1077359466.28,0.0,1077359466.28,1069185006.76,1.0076455051916333
ATIVOS ESPECIAIS III - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,42401957000190,1068573802.24,0.0,1068573802.24,1161233853.38,0.920205520300416
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS I RESPONSABILIDADE LIMITADA,24194675000187,1061780528.25,0.0,1061780528.25,3030582055.52,0.3503553141932054
ICRED CHOPIN INSS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,63733796000101,1046484000.78,0.0,1046484000.78,1111178920.37,0.9417781255529417
