DENOM_SOCIAL,CNPJ,VL_PL,dc,inad_pct,pr_max,red_flag,roll_12m,dc_medio,razao_rolagem,n_cot,COTST_INTERESSE,subord,DT_COMPTC,pl_ant,var,pl_12m,crescimento
SPS ALGARVE DELTA CRÉDITOS JUDICIAIS FIDC DE RESPONSABILIDADE LIMITADA,46449843000170,282130262.87,281977781.37,0.0,99.95,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
GALAPAGOS SPECIAL OPPORTUNITIES INFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,60696539000159,276186525.39,272872795.71,0.0,96.56,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
CANAL 47 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADO,32388169000157,284021764.96,272015366.85,0.0,81.15,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
DISAM CASH - FIDC AGRONEGÓCIO DE RESPONSABILIDADE ILIMITADA,24270541000106,273574186.12,267147237.35,0.0,97.65,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ASAAS III - RESPONSABILIDADE LIMITADA,61292200000150,308073444.29,263285028.89,0.0,85.0,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,42085830000109,308205214.77,255414395.99,0.0,82.67,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
EUCALIPTO FUNDO  DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE  LIMITADA,66358370000103,254302931.07,252827829.07,0.0,99.42,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
DIGGER FIDC - SEGMENTO DE RECEBÍVEIS COMERCIAIS - RESPONSABILIDADE LIMITADA,62387472000104,304341088.96,249498514.47,0.0,72.69,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
ANGÁ FGTS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,53577135000180,249730019.95,247380964.97,0.0005244252726386315,89.33,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
ALGARVE AMAZÔNIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,48279539000158,238674382.02,235259156.04,0.0,56.16,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
TB1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE ILIMITADA,48181830000199,231172857.89,230120348.61,0.0,99.54,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
URANO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,49686425000195,227408980.45,225585641.9,0.0,99.2,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
QUATÁ FDC FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,55401645000128,225010783.2,225052538.0,0.0009636999516975009,53.78,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
CBSB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,56745579000176,226545846.15,224803888.83,0.0,99.23,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
CREDIT RESTRUCTURING FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54335957000118,238354584.31,217055096.42,0.0,53.42,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
CERTO - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,43076509000120,215275643.98,206390897.18,0.00047128846925437835,95.92,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PRATA DIGITAL,50057356000130,202932945.36,202010790.26,9.364519576232661e-05,99.56,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
SUMUP SMART III FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,62627122000160,204070143.04,202006904.96,0.0,98.99,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
FERT-AGRO FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,47669200000103,212788449.8,200602273.3,0.0,94.0,RF1 inadimplência ~zero + cedente concentrado,,,,,,,,,,,
DISTRESSED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS DE RESPONSABILIDADE LIMITADA,29720595000131,314819121.43,,,,RF2 recompras/substituições > 15% da carteira (12m),863222462.8599999,309288334.245,2.7909958678758504,,,,,,,,
