nome_admin,cnpj_admin,pl,n_veiculos,participacao,var_12m,var_36m,var_60m
OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,13673855000125,2359941749.2400002,21,0.002361128386030446,0.29442822069288477,4.574812021514023,18.234668907008633
AZUMI DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,40434681000110,2180684829.2499986,97,0.0021817813312495025,0.3925168968538455,7.255279714651177,
CAIXA ECONOMICA FEDERAL,00360305000104,1891102410.2800002,4,0.0018920533031125293,0.3272411180616206,0.1898342202776171,-0.0810498975872197
FINVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,36266751000100,1311298435.59,38,0.001311957788714892,-0.597789875763896,-0.5713654562118363,2.7935400271891155
INTER DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS,18945670000146,1006891082.26,9,0.0010073973718760746,0.4112084347897671,,
INTEGRAL ACCESS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,34978626000199,914500052.52,4,0.0009149598856525484,,,
WNT CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,45854066000187,710118936.5,22,0.0007104760017775284,1.6109265207117671,,
LASTRO RDV DTVM LTDA,71590442000183,656288010.8299999,8,0.0006566180085933049,1.1735796391059106,5.263722575284899,
BR-CAPITAL DTVM S.A.,44077014000189,641969978.44,1,0.000642292776744248,0.2584116567087993,0.2058987856605885,0.4421234090162176
BARU DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,58006471000197,581348253.01,15,0.0005816405692187815,,,
SANTANDER DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,03502968000104,511741022.82,1,0.0005119983388003856,,,
INTRA INVESTIMENTOS DTVM LTDA,15489568000195,453054429.6399999,24,0.0004532822365570386,0.2059203108778318,-0.13590013444530458,-0.34731543928402675
MERITO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,41592532000142,341890302.59000003,12,0.00034206221344817295,137.9407063247689,,
LIONS TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,40768766000135,182189241.85,4,0.00018228085108453818,10.869144299839242,,
ATIVA INVESTIMENTOS S.A. C.T.C.V.,33775974000104,127486114.25,4,0.0001275502174057193,4316.621718546426,,
BANCO BNP PARIBAS BRASIL S/A,01522368000182,79700375.04,1,7.974045035002206e-05,0.20250978175168477,-0.6682491109057238,-0.5289258293383167
DILLON S/A DTVM,33851064000155,67228708.26,2,6.726251250903333e-05,0.012429654264609624,0.014392721584440604,13.249114749584038
BFL ADMINISTRAÇÃO DE RECURSOS LTDA,14717397000141,38948249.11,1,3.896783324818148e-05,,,
