CNPJ,DENOM_SOCIAL,serie,esperado,realizado,gap,VL_PL
62543465000146,PERNAMBUCANAS FORNECEDORES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS DE RESP LIMITADA,Subclasse Senior Série 1,1.61,1.61,0.0,130839674.65
62543465000146,PERNAMBUCANAS FORNECEDORES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS DE RESP LIMITADA,Subclasse Subordinada Mezanino 1 | Série 1,1.73,1.73,0.0,130839674.65
62543465000146,PERNAMBUCANAS FORNECEDORES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS DE RESP LIMITADA,Subclasse Subordinada Subordinada 1 |,1.15,1.15,0.0,130839674.65
62543489000103,IALA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Subclasse Senior Subclasse 1,1.12,2.7,1.58,5520645.88
62543489000103,IALA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Subclasse Subordinada  |,0.0,0.0,0.0,5520645.88
62543802000103,PINE LIFT I CARTÃO INSS FIDC - RESP LIMITADA,Subclasse Senior Série 1,1.26,1.26,0.0,160667845.39
62543802000103,PINE LIFT I CARTÃO INSS FIDC - RESP LIMITADA,Subclasse Subordinada Mezanino 1 | Série 1,1.69,1.69,0.0,160667845.39
62543802000103,PINE LIFT I CARTÃO INSS FIDC - RESP LIMITADA,Subclasse Subordinada Mezanino 1 | Série 2,1.81,1.81,0.0,160667845.39
62543802000103,PINE LIFT I CARTÃO INSS FIDC - RESP LIMITADA,Subclasse Subordinada Subordinada 1 |,9.04,9.04,0.0,160667845.39
62546276000127,ASHER CONSIGNADO FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Subclasse Senior Série 1,0.0,1.52,1.52,76893715.23
62546276000127,ASHER CONSIGNADO FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Subclasse Subordinada Mezanino 1 | Série 1,0.0,1.68,1.68,76893715.23
62546276000127,ASHER CONSIGNADO FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Subclasse Subordinada Mezanino 2 | Série 1,0.0,3.15,3.15,76893715.23
62546276000127,ASHER CONSIGNADO FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Subclasse Subordinada Subordinada 1 |,0.0,3.19,3.19,76893715.23
62550985000186,YUMA CRED FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Subclasse Senior Série 1,0.0,0.0,0.0,3100588.42
62550985000186,YUMA CRED FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Subclasse Subordinada Mezanino 1 | Série 1,1.45,1.45,0.0,3100588.42
62550985000186,YUMA CRED FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Subclasse Subordinada Mezanino 2 | Série 1,1.55,1.55,0.0,3100588.42
62550985000186,YUMA CRED FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Subclasse Subordinada Subordinada 1 |,7.29,7.29,0.0,3100588.42
