data,valor,indice
2018-12-01,0.15,1.4270623384840584
2019-01-01,0.32,1.4316289379672076
2019-02-01,0.43,1.4377849424004665
2019-03-01,0.75,1.4485683294684701
2019-04-01,0.57,1.4568251689464404
2019-05-01,0.13,1.458719041666071
2019-06-01,0.01,1.4588649135702374
2019-07-01,0.19,1.461636756906021
2019-08-01,0.11,1.4632445573386177
2019-09-01,-0.04,1.4626592595156822
2019-10-01,0.1,1.4641219187751977
2019-11-01,0.51,1.4715889405609515
2019-12-01,1.15,1.4885122133774025
2020-01-01,0.21,1.491638089025495
2020-02-01,0.25,1.4953671842480587
2020-03-01,0.07,1.4964139412770323
2020-04-01,-0.31,1.4917750580590736
2020-05-01,-0.38,1.486106312838449
2020-06-01,0.26,1.489970189251829
2020-07-01,0.36,1.4953340819331356
2020-08-01,0.24,1.498922883729775
2020-09-01,0.64,1.5085159901856455
2020-10-01,0.86,1.521489227701242
2020-11-01,0.89,1.535030481827783
2020-12-01,1.35,1.555753393332458
2021-01-01,0.25,1.5596427768157892
2021-02-01,0.86,1.5730557046964049
2021-03-01,0.93,1.5876851227500817
2021-04-01,0.31,1.592606946630607
2021-05-01,0.83,1.605825584287641
2021-06-01,0.53,1.6143364598843657
2021-07-01,0.96,1.6298340898992556
2021-08-01,0.87,1.644013646481379
2021-09-01,1.16,1.6630842047805632
2021-10-01,1.25,1.68387275734032
2021-11-01,0.95,1.6998695485350532
2021-12-01,0.73,1.7122785962393592
2022-01-01,0.54,1.7215249006590518
2022-02-01,1.01,1.7389123021557082
2022-03-01,1.62,1.7670826814506306
2022-04-01,1.06,1.7858137578740072
2022-05-01,0.47,1.7942070825360148
2022-06-01,0.67,1.806228269989006
2022-07-01,-0.68,1.7939459177530808
2022-08-01,-0.36,1.7874877124491695
2022-09-01,-0.29,1.7823039980830668
2022-10-01,0.59,1.7928195916717569
2022-11-01,0.41,1.800170151997611
2022-12-01,0.62,1.811331206939996
2023-01-01,0.53,1.8209312623367782
2023-02-01,0.84,1.836227084940407
2023-03-01,0.71,1.849264297243484
2023-04-01,0.61,1.8605448094566692
2023-05-01,0.23,1.8648240625184196
2023-06-01,-0.08,1.8633322032684048
2023-07-01,0.12,1.865568201912327
2023-08-01,0.23,1.8698590087767253
2023-09-01,0.26,1.8747206421995446
2023-10-01,0.24,1.8792199717408233
2023-11-01,0.28,1.8844817876616975
2023-12-01,0.56,1.8950348856726031
2024-01-01,0.42,1.9029940321924281
2024-02-01,0.83,1.9187888826596253
2024-03-01,0.16,1.9218589448718808
2024-04-01,0.38,1.929162008862394
2024-05-01,0.46,1.9380361541031608
2024-06-01,0.21,1.9421060300267774
2024-07-01,0.38,1.9494860329408792
2024-08-01,-0.02,1.949096135734291
2024-09-01,0.44,1.9576721587315218
2024-10-01,0.56,1.9686351228204184
2024-11-01,0.39,1.976312799799418
2024-12-01,0.52,1.9865896263583753
2025-01-01,0.16,1.9897681697605487
2025-02-01,1.31,2.0158341327844123
2025-03-01,0.56,2.027122803928005
2025-04-01,0.43,2.035839431984895
2025-05-01,0.26,2.0411326145080557
2025-06-01,0.24,2.046031332782875
2025-07-01,0.26,2.0513510142481106
2025-08-01,-0.11,2.0490945281324375
2025-09-01,0.48,2.0589301818674732
2025-10-01,0.09,2.060783219031154
2025-11-01,0.18,2.06449262882541
2025-12-01,0.33,2.071305454500534
2026-01-01,0.33,2.078140762500386
2026-02-01,0.7,2.0926877478378882
2026-03-01,0.88,2.1111034000188615
2026-04-01,0.67,2.1252477927989877
2026-05-01,0.58,2.137574229997222
2026-06-01,0.16,2.1409943487652177
2026-07-01,0.07,2.142493044809353
