tribunal,classe_nome,mes,n_processos
TJRJ,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-09,18
TJRJ,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-10,22
TJRJ,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-11,20
TJRJ,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-12,13
TJRJ,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-01,13
TJRJ,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-02,12
TJRJ,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-03,15
TJRJ,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-04,25
TJRJ,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-05,29
TJRJ,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2026-06,29
TJRJ,Recuperação Judicial,2024-08,35
TJRJ,Recuperação Judicial,2024-09,18
TJRJ,Recuperação Judicial,2024-10,12
TJRJ,Recuperação Judicial,2024-11,10
TJRJ,Recuperação Judicial,2024-12,15
TJRJ,Recuperação Judicial,2025-01,27
TJRJ,Recuperação Judicial,2025-02,27
TJRJ,Recuperação Judicial,2025-03,44
TJRJ,Recuperação Judicial,2025-04,19
TJRJ,Recuperação Judicial,2025-05,13
TJRJ,Recuperação Judicial,2025-06,9
TJRJ,Recuperação Judicial,2025-07,14
TJRJ,Recuperação Judicial,2025-08,31
TJRJ,Recuperação Judicial,2025-09,22
TJRJ,Recuperação Judicial,2025-10,18
TJRJ,Recuperação Judicial,2025-11,64
TJRJ,Recuperação Judicial,2025-12,7
TJRJ,Recuperação Judicial,2026-01,10
TJRJ,Recuperação Judicial,2026-02,7
TJRJ,Recuperação Judicial,2026-03,14
TJRJ,Recuperação Judicial,2026-04,12
TJRJ,Recuperação Judicial,2026-05,9
TJRJ,Recuperação Judicial,2026-06,8
TJRS,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-08,2
TJRS,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-09,10
TJRS,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-10,10
TJRS,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-11,9
TJRS,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2024-12,5
TJRS,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-01,7
TJRS,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-02,11
TJRS,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-03,8
TJRS,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-04,16
TJRS,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-05,7
TJRS,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-06,4
TJRS,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-07,10
TJRS,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-08,6
TJRS,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-09,9
TJRS,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",2025-10,4
