CNPJ,DENOM_SOCIAL,VL_PL,ADMIN,classificacao,score_risco,materialidade_max_rs,materialidade_soma_rs,forca_evidencia,obs_disparados,der_disparados,cobertura_dados_pct,n_avaliaveis,n_disparos,n_disparos_persistentes,n_criticos,n_altos,persistencia_media_meses,atualidade,peso_disponivel,peso_disparado
55140787000189,SOLIS RECEBÍVEIS COMERCIAIS II FI EM COTAS DE FI EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,194958217.46,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,atenção baixa,5.17,187571465.9368831,187571465.9368831,1.0,1.0,0.0,54.35,25,1,1.0,0.0,1.0,7.0,2026-06-30,116.0,6.0
37720328000192,C3E CRÉDITOS JUDICIAIS FI EM COTAS DE FI EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,182115254.85,APEX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,atenção baixa,5.17,180115254.84948903,180115254.84948903,0.0,0.0,1.0,54.35,25,1,1.0,0.0,1.0,13.0,2026-06-30,116.0,6.0
44178497000108,XP CREDIT SELECTION FIC DE FIDC RESPONSABILIDADE LIMITADA,306929277.53,APEX GROUP DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,atenção baixa,5.17,153180139.16926277,153180139.16926277,0.0,0.0,1.0,54.35,25,1,1.0,0.0,1.0,2.0,2026-06-30,116.0,6.0
58311958000183,PLGN AUTO LOANS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,274490076.09,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,atenção baixa,5.17,141223046.78625,141223046.78625,1.0,1.0,0.0,54.35,25,1,1.0,0.0,1.0,9.0,2026-06-30,116.0,6.0
62918704000103,ATLÂNTICO MASTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,88646803.91,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,atenção baixa,5.17,88009912.22,175386153.072016,0.5,1.0,1.0,56.52,26,2,2.0,0.0,0.0,5.0,2026-06-30,116.0,6.0
60775422000160,SANTOS DUMONT REAL ESTATE FI EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS,87650413.1,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,atenção baixa,5.17,86898609.76682861,86898609.76682861,0.0,0.0,1.0,54.35,25,1,1.0,0.0,1.0,13.0,2026-06-30,116.0,6.0
60094903000100,CLASSE UNICA - PROMETHEUS FIC FIDC - RESPONSABILIDADE LIMITADA,54320137.88,BANCO DAYCOVAL S.A.,atenção baixa,5.17,54192869.40012413,54192869.40012413,0.0,0.0,1.0,54.35,25,1,1.0,0.0,1.0,4.0,2026-06-30,116.0,6.0
61621790000117,CREDIRECOVER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,19746268.83,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,atenção baixa,5.17,12355614.05,12355614.05,0.0,0.0,1.0,56.52,26,1,1.0,0.0,1.0,5.0,2026-06-30,116.0,6.0
59483519000110,FEEDER QUALI I FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS,62915045.1,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,atenção baixa,5.17,11246.592103682015,11246.592103682015,1.0,1.0,0.0,54.35,25,1,1.0,0.0,1.0,2.0,2026-06-30,116.0,6.0
60327259000173,BR GOLD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,98107985.06,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",atenção baixa,5.08,100000000.01,200000000.02,1.0,2.0,0.0,60.87,28,2,2.0,0.0,0.0,8.5,2026-06-30,118.0,6.0
23033778000100,ITUPEVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,62643994.76,SEFER INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,atenção baixa,5.08,62643994.76,62643994.76,1.0,1.0,0.0,63.04,29,1,1.0,0.0,1.0,13.0,2026-06-30,118.0,6.0
52258572000179,ALGARVE TETRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,51272578.61,BANCO DAYCOVAL S.A.,atenção baixa,5.08,48928543.63,48928543.63,1.0,1.0,0.0,63.04,29,1,1.0,0.0,1.0,13.0,2026-06-30,118.0,6.0
56266633000109,ST 1013 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,28619701.44,BANCO DAYCOVAL S.A.,atenção baixa,5.08,28463957.0,28463957.0,1.0,1.0,0.0,63.04,29,1,1.0,0.0,1.0,13.0,2026-06-30,118.0,6.0
58355344000101,P051 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,5873116.78,BANCO DAYCOVAL S.A.,atenção baixa,5.08,23685494.669999998,23685494.669999998,0.0,0.0,1.0,63.04,29,1,1.0,0.0,1.0,1.0,2026-06-30,118.0,6.0
42867116000172,DUBLIN FUNDO INVESTIMENTO EM DIREITOS  CREDITÓRIOS,56177295.48,PLANNER CORRETORA DE VALORES S.A.,atenção baixa,5.08,18798305.789910764,18798305.789910764,0.0,0.0,1.0,58.7,27,1,1.0,0.0,1.0,2.0,2026-06-30,118.0,6.0
61067121000145,ORATA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,14032098.01,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,atenção baixa,5.08,12927032.06,25854064.12,0.0,0.0,2.0,58.7,27,2,1.0,0.0,1.0,4.0,2026-06-30,118.0,6.0
62627291000108,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,410773065.35,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,atenção baixa,5.07,503447432.06,1006894864.1200001,0.333,1.0,2.0,67.39,31,3,3.0,0.0,0.0,3.6666666666666665,2026-06-30,138.0,7.0
65505678000171,ERYTHRINA FIDC SEGMENTO INFRAESTRUTURA E AGRONEGÓCIO DE RESPONSABILIDADE LIMITADA,586287312.57,INTRAG DTVM LTDA.,não classificável,5.05,586287312.57,1743342169.37,0.667,2.0,1.0,47.83,22,3,3.0,0.0,0.0,3.3333333333333335,2026-06-30,99.0,5.0
62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,10010957003.11,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,atenção baixa,5.04,9443495620.98,18886991241.96,0.0,0.0,2.0,69.57,32,2,2.0,0.0,1.0,9.5,2026-06-30,139.0,7.0
56112240000132,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AUTO GWM - RESPONSABILIDADE LIMITADA,197555010.67,INTEGRAL ACCESS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,atenção baixa,5.04,197555010.67,391750049.49458456,0.5,1.0,1.0,67.39,31,2,2.0,0.0,1.0,7.0,2026-06-30,139.0,7.0
49815200000191,MSB LONGO PRAZO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,78385354.46,PLANNER CORRETORA DE VALORES S.A.,atenção baixa,5.04,78553734.5,156939088.95999998,1.0,2.0,0.0,67.39,31,2,2.0,0.0,1.0,10.0,2026-06-30,139.0,7.0
42888490000154,ICRED OPARÁ FIDC NÃO-PADRONIZADOS - SEGMENTO FINANCEIRO - DE RESPONSABILIDADE LIMITADA,72874218.1,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,atenção baixa,5.04,72874218.1,143272539.4662968,0.5,1.0,1.0,69.57,32,2,2.0,0.0,1.0,3.0,2026-06-30,139.0,7.0
11489344000122,RED PERFORMANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP DE RESPONSABILIDADE LIMITADA,1271673604.01,FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,atenção baixa,5.0,675491251.38,1163513613.97,1.0,2.0,0.0,89.13,41,2,2.0,0.0,1.0,13.0,2026-06-30,180.0,9.0
53314997000110,RAVENA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,455577017.38,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,atenção baixa,4.96,455577017.38,726318736.77,0.5,1.0,1.0,60.87,28,2,2.0,0.0,0.0,8.0,2026-06-30,121.0,6.0
43740863000108,MUFFY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADOS,50958000.23,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,atenção baixa,4.96,50958000.23,50958000.23,1.0,1.0,0.0,60.87,28,1,1.0,0.0,1.0,13.0,2026-06-30,121.0,6.0
56348388000170,JUSTOO CRÉDITO JUDICIAL PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,30962083.85,PLANNER CORRETORA DE VALORES S.A.,atenção baixa,4.96,30962083.85,30962083.85,1.0,1.0,0.0,58.7,27,1,1.0,0.0,1.0,7.0,2026-06-30,121.0,6.0
21081879000113,CMF FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL LP,49711985.37,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,atenção baixa,4.96,29708174.58,29708174.58,0.0,0.0,1.0,65.22,30,1,1.0,0.0,1.0,4.0,2026-06-30,121.0,6.0
52649689000183,CITRINO TEMPO CAPTOR (CTC) FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,46180681.57,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,atenção baixa,4.96,20470387.51,20470387.51,0.0,0.0,1.0,65.22,30,1,1.0,0.0,1.0,3.0,2026-06-30,121.0,6.0
58059847000121,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS VOITER CONSIGNADO III - RESPONSABILIDADE LIMITADA,7828090.0,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,atenção baixa,4.96,15001189.84,15001189.84,0.0,0.0,1.0,60.87,28,1,1.0,0.0,1.0,1.0,2026-06-30,121.0,6.0
60369814000120,BR4 FUND FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA,13856619.28,RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,atenção baixa,4.96,13856619.28,13856619.28,1.0,1.0,0.0,58.7,27,1,1.0,0.0,1.0,9.0,2026-06-30,121.0,6.0
46711630000175,CHEMICAL XII - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - INDÚSTRIA PETROQUÍMICA,116020959.44,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,atenção baixa,4.95,5528985005.860001,5658505337.290682,0.333,1.0,2.0,86.96,40,3,2.0,0.0,1.0,9.0,2026-06-30,182.0,9.0
47239731000158,BARRA RECUPERAÇÕES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,78804689.63,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,atenção baixa,4.93,78804689.63,234699420.63,0.333,1.0,2.0,69.57,32,3,2.0,0.0,1.0,7.0,2026-06-30,142.0,7.0
57752597000148,AGROMERCANTIL CRÉDITO AGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,68736909.66,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,atenção baixa,4.93,68736909.66,115146075.15998587,0.5,1.0,1.0,71.74,33,2,2.0,0.0,1.0,2.0,2026-06-30,142.0,7.0
19221032000145,FUNDO DE LIQUIDAÇÃO FINANCEIRA FIDC - RESPONSABILIDADE LIMITADA,1266715166.56,APEX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,atenção baixa,4.92,1266715166.56,5008462448.74,0.75,3.0,1.0,63.04,29,4,4.0,0.0,0.0,13.0,2026-06-30,122.0,6.0
